Name,Type,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Duskull,Ghost,20,40,90,30,90,25
Dusclops,Ghost,40,70,130,60,130,25
Tropius,Grass,99,68,83,72,87,51
Chimecho,Psychic,65,50,70,95,80,65
Absol,Dark,65,130,60,75,60,75
Wynaut,Psychic,95,23,48,23,48,23
Snorunt,Ice,50,50,50,50,50,50
Glalie,Ice,80,80,80,80,80,80
Spheal,Ice,70,40,50,55,50,25
Sealeo,Ice,90,60,70,75,70,45
Walrein,Ice,110,80,90,95,90,65
Clamperl,Water,35,64,85,74,55,32
Huntail,Water,55,104,105,94,75,52
Gorebyss,Water,55,84,105,114,75,52
Relicanth,Water,100,90,130,45,65,55
Luvdisc,Water,43,30,55,40,65,97
Bagon,Dragon,45,75,60,40,30,50
Shelgon,Dragon,65,95,100,60,50,50
Salamence,Dragon,95,135,80,110,80,100
Beldum,Steel,40,55,80,35,60,30
Metang,Steel,60,75,100,55,80,50
Metagross,Steel,80,135,130,95,90,70
Regirock,Rock,80,100,200,50,100,50
Regice,Ice,80,50,100,100,200,50
Registeel,Steel,80,75,150,75,150,50
Latias,Dragon,80,80,90,110,130,110
Latios,Dragon,80,90,80,130,110,110
Kyogre,Water,100,100,90,150,140,90
Groudon,Ground,100,150,140,100,90,90
Rayquaza,Dragon,105,150,90,150,90,95
Jirachi,Steel,100,100,100,100,100,100
Turtwig,Grass,55,68,64,45,55,31
Grotle,Grass,75,89,85,55,65,36
Torterra,Grass,95,109,105,75,85,56
Chimchar,Fire,44,58,44,58,44,61
Monferno,Fire,64,78,52,78,52,81
Infernape,Fire,76,104,71,104,71,108
Piplup,Water,53,51,53,61,56,40
Prinplup,Water,64,66,68,81,76,50
Empoleon,Water,84,86,88,111,101,60
Starly,Normal,40,55,30,30,30,60
Staravia,Normal,55,75,50,40,40,80
Staraptor,Normal,85,120,70,50,60,100
Bidoof,Normal,59,45,40,35,40,31
Bibarel,Normal,79,85,60,55,60,71
Kricketot,Bug,37,25,41,25,41,25
Kricketune,Bug,77,85,51,55,51,65
Shinx,Electric,45,65,34,40,34,45
Luxio,Electric,60,85,49,60,49,60
Luxray,Electric,80,120,79,95,79,70
Budew,Grass,40,30,35,50,70,55
Roserade,Grass,60,70,65,125,105,90
Cranidos,Rock,67,125,40,30,30,58
Rampardos,Rock,97,165,60,65,50,58
Shieldon,Rock,30,42,118,42,88,30
Bastiodon,Rock,60,52,168,47,138,30
Burmy,Bug,40,29,45,29,45,36
Mothim,Bug,70,94,50,94,50,66
Combee,Bug,30,30,42,30,42,70
Vespiquen,Bug,70,80,102,80,102,40
Pachirisu,Electric,60,45,70,45,90,95
Buizel,Water,55,65,35,60,30,85
Floatzel,Water,85,105,55,85,50,115
Cherubi,Grass,45,35,45,62,53,35
Cherrim,Grass,70,60,70,87,78,85
Shellos,Water,76,48,48,57,62,34
Gastrodon,Water,111,83,68,92,82,39
Ambipom,Normal,75,100,66,60,66,115
Drifloon,Ghost,90,50,34,60,44,70
Drifblim,Ghost,150,80,44,90,54,80
Buneary,Normal,55,66,44,44,56,85
Lopunny,Normal,65,76,84,54,96,105
Mismagius,Ghost,60,60,60,105,105,105
Honchkrow,Dark,100,125,52,105,52,71
Glameow,Normal,49,55,42,42,37,85
Purugly,Normal,71,82,64,64,59,112
Chingling,Psychic,45,30,50,65,50,45
Stunky,Poison,63,63,47,41,41,74
Skuntank,Poison,103,93,67,71,61,84
Bronzor,Steel,57,24,86,24,86,23
Bronzong,Steel,67,89,116,79,116,33
Bonsly,Rock,50,80,95,10,45,10
Happiny,Normal,100,5,5,15,65,30
Chatot,Normal,76,65,45,92,42,91
Spiritomb,Ghost,50,92,108,92,108,35
Gible,Dragon,58,70,45,40,45,42
Gabite,Dragon,68,90,65,50,55,82
Garchomp,Dragon,108,130,95,80,85,102
Munchlax,Normal,135,85,40,40,85,5
Riolu,Fighting,40,70,40,35,40,60
Lucario,Fighting,70,110,70,115,70,90
Hippopotas,Ground,68,72,78,38,42,32
Hippowdon,Ground,108,112,118,68,72,47
Skorupi,Poison,40,50,90,30,55,65
Drapion,Poison,70,90,110,60,75,95
Croagunk,Poison,48,61,40,61,40,50
Toxicroak,Poison,83,106,65,86,65,85
Carnivine,Grass,74,100,72,90,72,46
Finneon,Water,49,49,56,49,61,66
Lumineon,Water,69,69,76,69,86,91
Mantyke,Water,45,20,50,60,120,50
Snover,Grass,60,62,50,62,60,40
Abomasnow,Grass,90,92,75,92,85,60
Weavile,Dark,70,120,65,45,85,125
Magnezone,Electric,70,70,115,130,90,60
Lickilicky,Normal,110,85,95,80,95,50
Rhyperior,Ground,115,140,130,55,55,40
Tangrowth,Grass,100,100,125,110,50,50
Electivire,Electric,75,123,67,95,85,95
Magmortar,Fire,75,95,67,125,95,83
Togekiss,Fairy,85,50,95,120,115,80
Yanmega,Bug,86,76,86,116,56,95
Leafeon,Grass,65,110,130,60,65,95
Glaceon,Ice,65,60,110,130,95,65
Gliscor,Ground,75,95,125,45,75,95
Mamoswine,Ice,110,130,80,70,60,80
Porygon-Z,Normal,85,80,70,135,75,90
Gallade,Psychic,68,125,65,65,115,80
Probopass,Rock,60,55,145,75,150,40
Dusknoir,Ghost,45,100,135,65,135,45
Froslass,Ice,70,80,70,80,70,110
Rotom,Electric,50,50,77,95,77,91
Uxie,Psychic,75,75,130,75,130,95
Mesprit,Psychic,80,105,105,105,105,80
Azelf,Psychic,75,125,70,125,70,115
Dialga,Steel,100,120,120,150,100,90
Palkia,Water,90,120,100,150,120,100
Heatran,Fire,91,90,106,130,106,77
Regigigas,Normal,110,160,110,80,110,100
Cresselia,Psychic,120,70,120,75,130,85
Phione,Water,80,80,80,80,80,80
Manaphy,Water,100,100,100,100,100,100
Darkrai,Dark,70,90,90,135,90,125
Arceus,Normal,120,120,120,120,120,120
Victini,Psychic,100,100,100,100,100,100
Snivy,Grass,45,45,55,45,55,63
Servine,Grass,60,60,75,60,75,83
Serperior,Grass,75,75,95,75,95,113
Tepig,Fire,65,63,45,45,45,45
Pignite,Fire,90,93,55,70,55,55
Emboar,Fire,110,123,65,100,65,65
Oshawott,Water,55,55,45,63,45,45
Dewott,Water,75,75,60,83,60,60
Samurott,Water,95,100,85,108,70,70
Patrat,Normal,45,55,39,35,39,42
Watchog,Normal,60,85,69,60,69,77
Lillipup,Normal,45,60,45,25,45,55
Herdier,Normal,65,80,65,35,65,60
Stoutland,Normal,85,110,90,45,90,80
Purrloin,Dark,41,50,37,50,37,66
Liepard,Dark,64,88,50,88,50,106
Pansage,Grass,50,53,48,53,48,64
Simisage,Grass,75,98,63,98,63,101
Pansear,Fire,50,53,48,53,48,64
Simisear,Fire,75,98,63,98,63,101
Panpour,Water,50,53,48,53,48,64
Simipour,Water,75,98,63,98,63,101
Munna,Psychic,76,25,45,67,55,24
Musharna,Psychic,116,55,85,107,95,29
Pidove,Normal,50,55,50,36,30,43
Tranquill,Normal,62,77,62,50,42,65
Unfezant,Normal,80,115,80,65,55,93
Blitzle,Electric,45,60,32,50,32,76
Zebstrika,Electric,75,100,63,80,63,116
Roggenrola,Rock,55,75,85,25,25,15
Boldore,Rock,70,105,105,50,40,20
Gigalith,Rock,85,135,130,60,80,25
Woobat,Psychic,55,45,43,55,43,72
Swoobat,Psychic,67,57,55,77,55,114
Drilbur,Ground,60,85,40,30,45,68
Excadrill,Ground,110,135,60,50,65,88
Audino,Normal,103,60,86,60,86,50
Timburr,Fighting,75,80,55,25,35,35
Gurdurr,Fighting,85,105,85,40,50,40
Conkeldurr,Fighting,105,140,95,55,65,45
Tympole,Water,50,50,40,50,40,64
Palpitoad,Water,75,65,55,65,55,69
Seismitoad,Water,105,95,75,85,75,74
Throh,Fighting,120,100,85,30,85,45
Sawk,Fighting,75,125,75,30,75,85
Sewaddle,Bug,45,53,70,40,60,42
Swadloon,Bug,55,63,90,50,80,42
Leavanny,Bug,75,103,80,70,80,92
Venipede,Bug,30,45,59,30,39,57
Whirlipede,Bug,40,55,99,40,79,47
Scolipede,Bug,60,100,89,55,69,112
Cottonee,Grass,40,27,60,37,50,66
Whimsicott,Grass,60,67,85,77,75,116
Petilil,Grass,45,35,50,70,50,30
Lilligant,Grass,70,60,75,110,75,90
Basculin,Water,70,92,65,80,55,98
Sandile,Ground,50,72,35,35,35,65
Krokorok,Ground,60,82,45,45,45,74
Krookodile,Ground,95,117,80,65,70,92
Darumaka,Fire,70,90,45,15,45,50
Maractus,Grass,75,86,67,106,67,60
Dwebble,Bug,50,65,85,35,35,55
Crustle,Bug,70,95,125,65,75,45
Scraggy,Dark,50,75,70,35,70,48
Scrafty,Dark,65,90,115,45,115,58
Sigilyph,Psychic,72,58,80,103,80,97
Yamask,Ghost,38,30,85,55,65,30
Cofagrigus,Ghost,58,50,145,95,105,30
Tirtouga,Water,54,78,103,53,45,22
Carracosta,Water,74,108,133,83,65,32
Archen,Rock,55,112,45,74,45,70
Archeops,Rock,75,140,65,112,65,110
Trubbish,Poison,50,50,62,40,62,65
Garbodor,Poison,80,95,82,60,82,75
Zorua,Dark,40,65,40,80,40,65
Zoroark,Dark,60,105,60,120,60,105
Minccino,Normal,55,50,40,40,40,75
Cinccino,Normal,75,95,60,65,60,115
Gothita,Psychic,45,30,50,55,65,45
Gothorita,Psychic,60,45,70,75,85,55
Gothitelle,Psychic,70,55,95,95,110,65
Solosis,Psychic,45,30,40,105,50,20
Duosion,Psychic,65,40,50,125,60,30
Reuniclus,Psychic,110,65,75,125,85,30
Ducklett,Water,62,44,50,44,50,55
Swanna,Water,75,87,63,87,63,98
Vanillite,Ice,36,50,50,65,60,44
Vanillish,Ice,51,65,65,80,75,59
Vanilluxe,Ice,71,95,85,110,95,79
Deerling,Normal,60,60,50,40,50,75
Sawsbuck,Normal,80,100,70,60,70,95
Emolga,Electric,55,75,60,75,60,103
Karrablast,Bug,50,75,45,40,45,60
Escavalier,Bug,70,135,105,60,105,20
Foongus,Grass,69,55,45,55,55,15
Amoonguss,Grass,114,85,70,85,80,30
Frillish,Water,55,40,50,65,85,40
Jellicent,Water,100,60,70,85,105,60
Alomomola,Water,165,75,80,40,45,65
Joltik,Bug,50,47,50,57,50,65
Galvantula,Bug,70,77,60,97,60,108
Ferroseed,Grass,44,50,91,24,86,10
Ferrothorn,Grass,74,94,131,54,116,20
Klink,Steel,40,55,70,45,60,30
Klang,Steel,60,80,95,70,85,50
Klinklang,Steel,60,100,115,70,85,90
Tynamo,Electric,35,55,40,45,40,60
Eelektrik,Electric,65,85,70,75,70,40
Eelektross,Electric,85,115,80,105,80,50
Elgyem,Psychic,55,55,55,85,55,30
Beheeyem,Psychic,75,75,75,125,95,40
Litwick,Ghost,50,30,55,65,55,20
Lampent,Ghost,60,40,60,95,60,55
Chandelure,Ghost,60,55,90,145,90,80
Axew,Dragon,46,87,60,30,40,57
Fraxure,Dragon,66,117,70,40,50,67
Haxorus,Dragon,76,147,90,60,70,97
Cubchoo,Ice,55,70,40,60,40,40
Beartic,Ice,95,110,80,70,80,50
Cryogonal,Ice,70,50,30,95,135,105
Shelmet,Bug,50,40,85,40,65,25
Accelgor,Bug,80,70,40,100,60,145
Stunfisk,Ground,109,66,84,81,99,32
Mienfoo,Fighting,45,85,50,55,50,65
Mienshao,Fighting,65,125,60,95,60,105
Druddigon,Dragon,77,120,90,60,90,48
Golett,Ground,59,74,50,35,50,35
Golurk,Ground,89,124,80,55,80,55
Pawniard,Dark,45,85,70,40,40,60
Bisharp,Dark,65,125,100,60,70,70
Bouffalant,Normal,95,110,95,40,95,55
Rufflet,Normal,70,83,50,37,50,60
Braviary,Normal,100,123,75,57,75,80
Vullaby,Dark,70,55,75,45,65,60
Mandibuzz,Dark,110,65,105,55,95,80
Heatmor,Fire,85,97,66,105,66,65
Durant,Bug,58,109,112,48,48,109
Deino,Dark,52,65,50,45,50,38
Zweilous,Dark,72,85,70,65,70,58
Hydreigon,Dark,92,105,90,125,90,98
Larvesta,Bug,55,85,55,50,55,60
Volcarona,Bug,85,60,65,135,105,100
Cobalion,Steel,91,90,129,90,72,108
Terrakion,Rock,91,129,90,72,90,108
Virizion,Grass,91,90,72,90,129,108
Reshiram,Dragon,100,120,100,150,120,90
Zekrom,Dragon,100,150,120,120,100,90
Kyurem,Dragon,125,130,90,130,90,95
Genesect,Bug,71,120,95,120,95,99
Chespin,Grass,56,61,65,48,45,38
Quilladin,Grass,61,78,95,56,58,57
Chesnaught,Grass,88,107,122,74,75,64
Fennekin,Fire,40,45,40,62,60,60
Braixen,Fire,59,59,58,90,70,73
